task_id,name,category,version,n_param,LOC_Total,LOC_Code,LOC_Comment,Comment_Density,CC_Average,CC_Max,CC_Functions,MI_Score,MI_Rank,H_Volume,H_Difficulty,H_Effort,H_Bugs,Cognitive_CC,Max_Nesting,Avg_Func_Length,Code_Smells,Duplicate_Pct
53,matrix_multiply,numerical,v1_clean,150,47,40,0,0.0,5.5,11,4,46.45676580834239,A,173.06477719407374,2.608695652173913,451.47333181062714,0.057688259064691244,16,4,7.5,6,0.0
53,matrix_multiply,numerical,v2_medium,150,56,50,0,0.0,5.5,11,4,43.371164184221975,A,257.2641000872811,3.7777777777777777,971.8866003297287,0.0857547000290937,34,7,9.75,5,4.0
53,matrix_multiply,numerical,v3_bad,150,81,75,0,0.0,6.75,13,4,38.46842301606078,A,292.36913196586306,3.9310344827586206,1149.3131394520133,0.09745637732195435,66,10,15.75,11,21.333333333333332
54,matrix_transpose,numerical,v1_clean,200,41,34,0,0.0,4.75,11,4,48.39261001882694,A,171.1759500778849,3.4285714285714284,586.8889716956053,0.05705865002596163,11,4,6.0,7,0.0
54,matrix_transpose,numerical,v2_medium,200,50,44,0,0.0,4.75,11,4,45.01260672263179,A,255.0,4.76,1213.8,0.085,29,7,8.25,6,2.272727272727273
54,matrix_transpose,numerical,v3_bad,200,69,63,0,0.0,5.5,13,4,40.81760161187183,A,289.9853819512694,4.925925925925926,1428.44651109329,0.09666179398375646,54,10,12.75,10,15.873015873015873
55,dot_product_batch,numerical,v1_clean,5000,45,38,0,0.0,4.75,11,4,47.57626613184904,A,159.81495041679716,3.3,527.3893363754306,0.05327165013893238,12,4,7.0,7,0.0
55,dot_product_batch,numerical,v2_medium,5000,54,48,0,0.0,4.75,11,4,44.33792765912826,A,242.75561920895692,4.666666666666667,1132.8595563084657,0.08091853973631898,30,7,9.25,6,6.25
55,dot_product_batch,numerical,v3_bad,5000,76,70,0,0.0,5.75,13,4,39.819415934920194,A,277.44167656471495,4.846153846153846,1344.5250479674646,0.09248055885490498,57,10,14.5,11,18.571428571428573
56,monte_carlo_pi,numerical,v1_clean,1500000,43,36,0,0.0,4.75,11,4,46.31150843142609,A,285.41171981856144,4.645161290322581,1325.7834727055758,0.09513723993952047,13,4,6.5,10,0.0
56,monte_carlo_pi,numerical,v2_medium,1500000,52,46,0,0.0,4.75,11,4,43.404949233915914,A,376.70078168597354,5.914285714285715,2227.916051685615,0.12556692722865784,31,7,8.75,9,2.1739130434782608
56,monte_carlo_pi,numerical,v3_bad,1500000,72,66,0,0.0,5.75,13,4,39.157740193903294,A,414.267146704276,6.081081081081081,2519.1921083368134,0.13808904890142534,59,10,13.5,14,15.151515151515152
